rank,team,games,points_scored,total_yards,offensive_plays,yards_per_play,turnovers_lost,fumbles_lost,1st_downs,passes_completed,passes_attempted,passing_yards,passing_touchdowns
1,Kansas City Chiefs,8,243,3322,536,6.2,9,3,200,219,334,2494,21
2,Seattle Seahawks,9,241,3238,538,6,12,7,187,207,284,2034,15
3,Baltimore Ravens,9,235,3194,551,5.8,9,3,189,160,257,1681,16
4,Cincinnati Bengals,9,228,3256,591,5.5,10,4,202,237,337,2367,18
5,Philadelphia Eagles,8,225,3128,539,5.8,3,1,188,164,241,1938,12
6,Buffalo Bills,8,220,3331,516,6.5,14,6,185,193,305,2337,19
7,Atlanta Falcons,9,217,2881,525,5.5,12,6,176,124,201,1415,10
8,Miami Dolphins,9,213,3424,541,6.3,10,3,187,214,322,2642,18
9,New Orleans Saints,9,212,3398,572,5.9,17,7,182,204,314,2220,15
10,Arizona Cardinals,9,203,3039,623,4.9,9,3,188,242,364,1986,12
11,New England Patriots,9,203,2879,547,5.3,17,7,158,181,266,1824,9
12,Cleveland Browns,8,200,3086,538,5.7,12,6,181,163,256,1769,7
13,Jacksonville Jaguars,9,199,3307,580,5.7,13,7,203,198,309,1986,11
14,New York Jets,9,196,3015,570,5.3,13,5,165,189,324,1971,10
15,Minnesota Vikings,8,193,2721,511,5.3,8,2,174,200,307,1905,13
16,Detroit Lions,8,188,3018,503,6,12,5,166,174,276,1945,14
17,Chicago Bears,9,187,2890,546,5.3,12,6,162,111,188,1131,10
18,Los Angeles Chargers,8,184,2914,552,5.3,9,4,167,233,351,2201,13
19,Dallas Cowboys,8,183,2577,474,5.4,7,2,145,144,237,1525,8
20,Las Vegas Raiders,8,183,2707,480,5.6,7,2,159,179,287,1825,11
21,Carolina Panthers,9,179,2609,494,5.3,12,4,129,154,268,1661,9
22,San Francisco 49ers,8,176,2853,480,5.9,12,6,158,160,251,1897,12
23,New York Giants,8,163,2565,511,5,8,5,163,144,223,1273,6
24,Tampa Bay Buccaneers,9,162,2986,595,5,7,6,178,260,398,2440,10
25,Washington Commanders,9,159,2911,592,4.9,11,2,175,202,324,1939,15
26,Green Bay Packers,9,154,3108,568,5.5,13,6,178,211,326,2022,14
27,Tennessee Titans,8,149,2228,445,5,9,5,125,107,176,1090,6
28,Houston Texans,8,133,2324,466,5,9,1,134,162,259,1509,10
29,Indianapolis Colts,9,132,2836,595,4.8,17,7,170,235,349,2056,9
30,Los Angeles Rams,8,131,2288,486,4.7,13,5,140,196,287,1741,8
31,Denver Broncos,8,121,2631,509,5.2,9,4,136,158,274,1764,6
32,Pittsburgh Steelers,8,120,2392,506,4.7,14,4,147,192,295,1633,6
